id,source,title,url,deadline,description,scraped_at,fit,score,fit_reason,fit_match,call_summary,call_deadline
0ff3027eae9d,EIT InnoEnergy,AV services for The Business Booster 2026,https://innoenergy.com/uploads/2026/06/AV-Services-TBB2026-FV2.zip,11.07.2026,,2026-06-15T13:12:49.175987+00:00,NO,1,"This tender is for audiovisual event production services for EIT InnoEnergy's Business Booster 2026 conference, which is entirely unrelated to DevelopMinded's technology commercialisation and strategic consultancy services.",none,"This call is a procurement for AV (audiovisual) technical services to support EIT InnoEnergy's The Business Booster 2026 event, likely covering stage setup, sound, lighting, and display equipment. The contractor must concretely deliver physical AV equipment installation, operation, and technical support for a large-scale innovation event.",11.07.2026
9381294312ff,EIT Climate-KIC,NZC CESF Procurement RFP - Czechia,https://www.climate-kic.org/../../wp-content/uploads/2026/01/RFP_2026_SGA2_Task-1.6-Czechia_Final-1.pdf,,"Climate KIC is looking for an expert support to facilitate the Community of Practice of
cities in the Czech Republic.",2026-06-22T12:48:41.820782+00:00,NO,2,"This tender seeks a facilitator for a Community of Practice for cities in Czechia focused on climate/net-zero, which does not align with DevelopMinded's core services in technology commercialisation, investment readiness, or deep tech go-to-market strategy.",none,"This call from EIT Climate-KIC relates to the Net Zero Cities (NZC) Community of Practice in the Czech Republic, likely supporting urban climate transition initiatives. The contractor would be expected to facilitate collaboration and knowledge-sharing among Czech cities working toward net-zero goals.",
1e2629901d93,EIT Climate-KIC,Expert in inclusive climate innovation (long-term),https://www.climate-kic.org/../../download/73831/?tmstv=1768388726,,"Climate KIC is requesting an expert in inclusive climate entrepreneurship to support DEI (Diversity, Equity & Inclusion) capacity building with climate ventures, Entrepreneurship Support Organisations",2026-06-22T12:48:41.820968+00:00,NO,2,"This tender seeks a DEI/inclusive entrepreneurship expert for capacity building, which is outside DevelopMinded's core competencies in technology commercialisation, investment readiness, and deep tech go-to-market strategy.",none,"EIT Climate-KIC is seeking a long-term expert specialised in inclusive climate entrepreneurship to support DEI capacity building with climate ventures and Entrepreneurship Support Organisations. The contractor must deliver DEI-focused advisory and capacity building services, not technology commercialisation or market strategy work.",
8661875580f4,EIT Climate-KIC,NZC CESF Procurement RFP - Liepaja,https://www.climate-kic.org/../../wp-content/uploads/2025/11/SGA-MCCC-019-Liepaja-RfP_Final.pdf,,"The NetZeroCities team within Climate KIC is looking for an expert to run a pre-feasibility study for the energy community project of the City of Liepaja. 
*Please note that a list of questions and an",2026-06-22T12:48:41.821108+00:00,MAYBE,4,"The pre-feasibility study for an energy community project touches on market and regulatory analysis relevant to DevelopMinded's capabilities, but it is primarily an urban energy planning/technical consultancy role rather than technology commercialisation or deep tech venture support.",Regulatory pathway analysis for market entry,"This tender from EIT Climate-KIC's NetZeroCities programme seeks an expert to conduct a pre-feasibility study for an energy community project in the City of Liepaja, Latvia. The contractor would likely need to deliver a structured analysis covering technical, regulatory, financial, and stakeholder dimensions of establishing a local energy community.",
9c956be173d8,EIT Climate-KIC,City Expert Support Facility (CESF) for NetZeroCities programme,https://www.climate-kic.org/../../wp-content/uploads/2025/09/CESF-Procurement-SGA2-1.6_IRELAND_.pdf,,"Climate KIC is seeking expert support to the Community of Practice of 
cities in Ireland.",2026-06-22T12:48:41.821544+00:00,MAYBE,4,"While DevelopMinded has relevant EU programme and stakeholder engagement expertise, this tender focuses on city-level net zero community of practice support rather than deep tech commercialisation or research spinout services.",Partnership strategy and stakeholder outreach,"This tender from EIT Climate-KIC seeks expert support for a Community of Practice of cities in Ireland under the NetZeroCities programme, likely involving facilitation, knowledge exchange, and capacity building for urban net zero transitions. The contractor would be expected to deliver expert advisory, coordination, and possibly strategic support services to Irish cities participating in the programme.",
f5e2c6bc6211,EIT Climate-KIC,RFP - Research and Analysis of Demand Side and Engagement for Climate Entrepreneurship Support,https://www.climate-kic.org/../../wp-content/uploads/2025/09/RFP-ESO-Circle-Demand-Analysis.pdf,,"Climate KIC is looking for expert services to conduct a comprehensive research and analysis of at least 30 Entrepreneurial Support Organizations (ESOs) previously supported by ESV Cluster, generating",2026-06-22T12:48:41.821684+00:00,MAYBE,5,"The tender focuses on research and analysis of entrepreneurial support organisations in the climate sector, which partially aligns with DevelopMinded's market intelligence and innovation programme evaluation capabilities, but is more focused on ecosystem/demand-side research than direct deep tech commercialisation support.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","EIT Climate-KIC is seeking expert services to conduct comprehensive research and analysis of at least 30 Entrepreneurial Support Organisations (ESOs) previously supported by its ESV Cluster, likely to understand demand-side needs and engagement patterns for climate entrepreneurship support. The contractor must deliver a structured research study, likely including surveys, interviews, and analytical outputs covering the needs, gaps, and engagement dynamics of these ESOs within the climate innovation ecosystem.",
92dd56408191,EIT Climate-KIC,RFP - Market & Supply-Side Analysis for Climate Entrepreneurship Support,https://www.climate-kic.org/../../wp-content/uploads/2025/09/RFP-ESO-Circle-Supply-Analysis.pdf,,"Climate KIC is looking for expert services to conduct a
comprehensive market and supply-side analysis to map
competitors, identify trends, and generate actionable
recommendations that will strengthen",2026-06-22T12:48:41.821842+00:00,YES,8,"This tender directly requires market and supply-side analysis, competitor mapping, and trend identification for climate entrepreneurship support — core services DevelopMinded offers including market intelligence, competitive analysis, and market sizing for deep tech/cleantech ventures.","Go-to-market strategy and market intelligence (market sizing, segmentation, competitive analysis)","EIT Climate-KIC seeks expert services to conduct a comprehensive market and supply-side analysis mapping competitors, identifying trends, and generating actionable recommendations to strengthen their climate entrepreneurship support offering. The contractor must deliver a structured analysis covering the competitive landscape, market dynamics, and strategic recommendations relevant to climate-focused innovation and entrepreneurship ecosystems.",
d65846020b1d,EIT Climate-KIC,NZC CESF Procurement RFP - City Finance Specialised Services,https://www.climate-kic.org/../../wp-content/uploads/2025/07/3.1-NZC-CESF-Procurement-for-CFSS-Rev03-1.pdf,,,2026-06-22T12:48:41.822038+00:00,MAYBE,3,"The tender appears to relate to city finance specialised services under EIT Climate-KIC's Net Zero Cities programme, which is adjacent to DevelopMinded's EU ecosystem work but focuses on municipal finance rather than technology commercialisation or deep tech venture support.",EU tender bid preparation,"This tender is issued by EIT Climate-KIC under the Net Zero Cities (NZC) / City Energy and Systems Finance (CESF) programme, likely seeking specialised financial advisory or city finance services. The exact deliverables cannot be confirmed as the source document returned a 404 error, but the scope likely involves financial structuring or investment facilitation for urban decarbonisation projects.",
6b529a5a5900,EIT Climate-KIC,RFQ - Learning Methodology,https://www.climate-kic.org/../../wp-content/uploads/2025/07/RFQ_Learning_Coach.pdf,,"Methodology development and facilitation of peer-to-peer learning
sessions for Entrepreneurship Support Organisations.",2026-06-22T12:48:41.822161+00:00,MAYBE,4,"While DevelopMinded supports innovation programmes and startups, this tender focuses on learning methodology design and facilitation for Entrepreneurship Support Organisations, which is adjacent but not a core service offering.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions",This EIT Climate-KIC call seeks a contractor to develop a learning methodology and facilitate peer-to-peer learning sessions for Entrepreneurship Support Organisations (ESOs). The contractor must concretely deliver a structured methodology framework and run facilitated sessions enabling ESOs to share knowledge and best practices.,
ff0f7b5f9f63,EIT Food,The Request for Proposals for a qualified supplier to act as the EIT Community Officer (ECO) for the EIT Community Hub in Moldova,https://www.eitfood.eu/open-calls/the-request-for-proposals-for-a-qualified-supplier-to-act-as-the-eit-community-officer-eco-for-the-eit-community-hub-in-moldova,"Deadline: June 25, 2026",,2026-06-22T12:48:47.338669+00:00,NO,2,"This tender requires a legally registered entity physically present in Moldova to act as an on-the-ground operational community officer, which is a local coordination/representation role incompatible with DevelopMinded's remote consultancy services in technology commercialisation.",none,"This RfP seeks a Moldova-based legal entity to serve as the EIT Community Officer for the EIT Community Hub in Moldova from July 2026 to December 2027, acting as the central coordination point for all EIT KIC activities in the country. The contractor must implement joint innovation activities, engage local stakeholders, foster synergies between EIT KICs, and serve as a one-stop shop for EIT Community outreach in Moldova.","Deadline: June 25, 2026"
6e3df4dcab36,EIT Food,Employee Days 2027 | Venue & Accommodation,https://www.eitfood.eu/open-calls/employee-days-2027-venue-accommodation,"Employee Days 2027 | Venue & Accommodation Deadline: July 03, 2026",,2026-06-22T12:48:47.338943+00:00,NO,1,"This tender is a venue and accommodation procurement for a staff event, requiring hospitality facilities rather than any consulting or technology commercialisation services.",none,"EIT Food is seeking a venue/hotel to host its 2027 Employee Days annual staff event, which includes a plenary meeting, teambuilding activities, networking, and team meetings. The contractor must provide physical facilities (conference rooms, accommodation, catering) that enable collaboration, networking, and connection to nature.","Employee Days 2027 | Venue & Accommodation Deadline: July 03, 2026"
746dc519a70f,EIT Food,The Request for Proposals for a qualified supplier to act as the EIT Community Officer (ECO) for the EIT Community Hub in Lithuania,https://www.eitfood.eu/open-calls/the-request-for-proposals-for-a-qualified-supplier-to-act-as-the-eit-community-officer-eco-for-the-eit-community-hub-in-lithuania,"Deadline: July 06, 2026",,2026-06-22T12:48:47.339212+00:00,MAYBE,4,"DevelopMinded has relevant EIT/innovation ecosystem expertise and stakeholder engagement capabilities, but the role requires a legally registered entity physically based in Lithuania, which is a hard eligibility barrier unless DevelopMinded has a Lithuanian presence.",Partnership strategy and stakeholder outreach,"This tender seeks a qualified supplier physically based in Lithuania to serve as the EIT Community Officer (ECO) for the EIT Community Hub in Lithuania from July 2026 to December 2027. The contractor must act as a central coordination and operational point for all EIT KIC activities in Lithuania, engaging local stakeholders, implementing joint innovation activities, and maximising EIT Community visibility at national and regional levels.","Deadline: July 06, 2026"
c4dc8130dcdd,EIT Food,Call for Expression of Interest for  Experts for EIT Food Accelerator Network Programme (FAN) - Warsaw Hub,https://www.eitfood.eu/open-calls/call-for-expression-of-interest-for-experts-for-eit-food-accelerator-network-programme-fan-warsaw-hub,"Deadline: July 06, 2026",,2026-06-22T12:48:47.339487+00:00,YES,8,"DevelopMinded's core services in investment readiness, technology commercialisation, go-to-market strategy, and startup support align directly with the agrifood technology validation, commercial readiness, and investment readiness expert profiles sought for the EIT Food FAN Warsaw Hub accelerator programme.",Investment readiness and fundraising support,"EIT Food is seeking organisations or individual experts to join a pool of experts (database) supporting the FAN Warsaw Hub acceleration programme, focused on future resilient agriculture topics. Contractors must provide agrifood technology validation, commercial readiness, investment readiness expertise, and business coaching to startups and SMEs, with at least 5 years domain experience and 2 years supporting early-stage ventures.","Deadline: July 06, 2026"
1ba6a509739c,EIT Food,Request for Proposals for Senior Communications Support Services for EIT Community Initiatives led by EIT Food,https://www.eitfood.eu/open-calls/request-for-proposals-for-senior-communications-support-services-for-eit-community-initiatives-led-by-eit-food,"Deadline: July 10, 2026",,2026-06-22T12:48:47.339823+00:00,NO,2,"This tender seeks senior communications and dissemination services for EIT Food initiatives, which does not align with DevelopMinded's core expertise in technology commercialisation, investment readiness, or go-to-market strategy for deep tech ventures.",none,"EIT Food is procuring senior communications support services to strengthen communication, dissemination, stakeholder engagement, and visibility across its EIT Community initiatives and business plan activities. The contractor must deliver strategic communications, stakeholder outreach, and visibility campaigns across multiple European regions.","Deadline: July 10, 2026"
ddde12d01fee,EIT Urban Mobility,Office Rental Barcelona27 28,https://www.eiturbanmobility.eu/request-for-proposal/office-rental-barcelona27-28/,27 July 2026,,2026-06-22T12:48:49.084671+00:00,NO,1,"This tender is for physical office space rental in Barcelona, which is entirely unrelated to DevelopMinded's consultancy services in technology commercialisation, market strategy, or innovation support.",none,EIT Urban Mobility is seeking a supplier to provide rental premises/office space in Barcelona for its operations in 2027-2028. The contractor must offer physical office facilities meeting EIT UM's requirements as specified in the Request for Proposal.,27 July 2026
860c49ee727f,EIT Urban Mobility,Expert Support For Strategy Partnerships And Stakeholder Engagement 26 28,https://www.eiturbanmobility.eu/request-for-proposal/expert-support-for-strategy-partnerships-and-stakeholder-engagement-26-28/,29 June 2026,,2026-06-22T12:48:50.709633+00:00,MAYBE,6,"The tender aligns well with DevelopMinded's partnership strategy, stakeholder outreach, and market intelligence services, but is focused on supporting an EIT KIC's internal strategic operations rather than directly serving deep tech spinouts or grantees at TRL 4-7.",Partnership strategy and stakeholder outreach,"EIT Urban Mobility is seeking expert consultancy support to strengthen its strategic positioning, partnerships, and stakeholder engagement activities for its 2026–2028 Business Plan. The contractor must deliver strategic advisory services, stakeholder engagement design, multi-stakeholder facilitation, high-level event preparation, capacity-building, and analytical insights targeting both EIT UM internal teams and external ecosystem actors across European cities.",29 June 2026
